name,cuisine,time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
Glazed pork chops,French,45,"1 Tbs balsamic vinegar|¼ tsp black pepper, cracked|1/2 cup butter, melted|½ tsp cornstarch|2 garlic cloves, minced|Fresh chives or green onions, sliced, for garnish|2 tablespoons honey|4 boneless pork chops, trimmed|1/4 cup soy sauce","Press one side of each chop into the black pepper.|Heat nonstick grill skillet until hot.|Add pork chops, pepper side down, and cook about 4 minutes or until browned.Reduce heat to medium, turn pork chops and cook 6-8 minutes longer.When done, take the skillet from the heat, cover the pork chops and set aside.Meanwhile, mix honey, soy sauce, balsamic vinegar and cornstarch until smooth.|Add the cracked pepper, stir.Melt the butter in a small pan, add garlic and cook for 30 seconds, stirring.Stir honey mixture into pan, let it boil, cook for 1 minute, stirring.Spoon sauce over pork chops, sprinkle with fresh chives or green onions.|Serve with polenta and green salad.",459,lunch|main course|main dish|dinner,gluten free|ketogenic,8,4,https://spoonacular.com/recipeImages/644761-556x370.jpg
Great Greek Salad,Mediterranean,45,"6 small cucumbers, seeded and sliced|1 1/2 cups crumbled feta cheese|1 cup Kalamata olives, pitted and sliced|3 cups diced roma tomatoes|1/3 cup diced oil packed sun-dried tomatoes, drained, oil reserved|1/2 red onion, sliced|1 Tbsp rice vinegar (I had to use apple cider, but I think rice would be better)|1/2 tsp Greek Seasoning","In a large salad bowl, toss together the cucumbers, olives, roma tomatoes, sun-dried tomatoes, 2 tablespoons reserved sun-dried tomato oil, red onion, vinegar, and seasoning.|Chill until serving.|Right before serving toss in the feta and stir to combine.",290,side dish|lunch|main course|salad|main dish|dinner,gluten free,29,4,https://spoonacular.com/recipeImages/645265-556x370.jpg
"Greek-Style Baked Fish: Fresh, Simple, and Delicious",Mediterranean,30,"1 bell pepper|Cooked rice, for serving|1 tsp Dried basil|2 – 3 oz. of crumbled feta cheese per pound of fish|1 lb fish fillets|2 Tablespoons olive oil per pound of fish|1 tsp dried oregano|Freshly ground pepper|1/2 Red onion|Salt & pepper|1 tomato|¼ cup white wine","Preheat the oven to 450 degrees F. Choose an oven-proof baking dish that your fish will fit in without overlapping and spray it with cooking spray.|Lay the fish fillets in the baking pan in a single layer, season with salt and pepper, then top the fish with red onion and bell pepper.|Sprinkle with dried basil and oregano, the tomato, and the feta cheese, then drizzle the white wine and olive oil over top. Grind some fresh pepper over the top.|Bake uncovered for about 12 – 15 minutes or until the fish flakes easily with a fork. Squeeze the lemon wedges over the cooked fish, garnish with the fresh basil and/or oregano and serve with hot cooked rice.",343,lunch|main course|main dish|dinner,gluten free|pescatarian,42,4,https://spoonacular.com/recipeImages/716408-556x370.jpg
Green Bean Poriyal,American,45,"1/2 teaspoon asafetida|1 teaspoon brown mustard seeds|1 teaspoon toor dal or chana dal, rinsed|2 teaspoons coconut oil|1 teaspoon cumin seeds|small handful of dried curry leaves, crushed|1 fresh red chili, finely chopped (dont remove the seeds)|1/2 teaspoon sea salt, or to taste|2 tablespoons tamarind pulp|4 tablespoons dried unsweetened shredded coconut|1 teaspoon split skinned urad dal, rinsed","Soak the tamarind pulp in 2/3 cup boiling water for 40 minutes. Strain the tamarind into a small bowl, pressing down on the pulp to squeeze as much liquid as you can. Set the drained tamarind liquid aside.In a large frying pan or wok, heat the oil over medium heat until hot.|Add the mustard seeds and cumin seeds to the pan and cook for a few minutes. Now add the urad and toor or chana dals, chilli, asafetida and curry leaves. Fry for another few minutes until the mustard seeds turn grey and begin to splutter and pop.Now add the green beans, about 3 tablespoons of the tamarind water, and salt. Reduce the heat to medium-low and cover. Cook until the beans are tender, about 5 to 7 minutes. Stir in the coconut and cook for another few minutes.|Remove from heat and taste for seasoning.|Serve warm alongside some fresh cooked white rice and your favorite dal dishes.",67,side dish,gluten free|dairy free|lacto ovo vegetarian|vegan,3,6,https://spoonacular.com/recipeImages/795431-556x370.jpg
Green Chili Cheddar Dip (Guest Post),American,45,8 oz Cream Cheese|grated ½ tsp Garlic Powder|4 oz Green Chilis (1 small can)|4 oz Sharp Cheddar Cheese,"In a medium bowl microwave the cream cheese for 30-60 seconds or until it is softened.|Mix in the green chilis, cheddar, and garlic.|Mix well.Microwave the dip for 45 seconds, stir and then an additional 45 seconds or until it is heated through.Alternately, you can spread the mixture in a baking dish and bake at 350 degrees F for 20-30 min or until heated through.|Serve with tortilla chips and enjoy the game (or the food!)",646,antipasti|condiment|starter|snack|appetizer|dip|antipasto|hor doeuvre|spread,gluten free|lacto ovo vegetarian|primal,7,2,https://spoonacular.com/recipeImages/715602-556x370.png
Grilled Lemon Garlic Chicken,Mediterranean,45,"2 pounds Boneless, Skinless Organic Chicken Breast|1/4 cup Garlic Olive Oil (Trader Joes has a great one, most markets carry it these days)|1/2 cup Lemon Juice (You can juice 3 lemons if you have them handy, I usually reach|2 teaspoons Tumeric (Yes it will make your hands turn yellow, you can wear gloves if you wish. Not only is Tumeric know for a wide range of|Salt and Pepper to Taste|Chopped Cilantro or Italian Parsley for garnish","Trim any fat and clean Chicken|Put Chicken in bowl with Garlic Oil, Lemon Juice, Salt and Pepper and Tumeric, combine all.|If you have time, do this in the morning and marinate all day in the fridge.  If this is last minute try to give Chicken about an hour in the marinade)|Pre heat Grill, Medium High|Heat.|Grill Chicken about 5 minutes per side until inside is cooked through.|Plate and garnish with chopped Cilantro or Parsley",390,lunch|main course|main dish|dinner,gluten free|dairy free|paleolithic|primal|fodmap friendly|whole 30,32,4,https://spoonacular.com/recipeImages/645753-556x370.jpg
Grilled Peach Melba with Vanilla Bean Frozen Yogurt,Mexican,45,"coconut oil for grilling|1/4 cup honey|2 T honey|2 large peaches, quartered|3 cups plain Greek yogurt|1 1/2 cups raspberries (fresh or frozen)|2 tsp 100% raspberry fruit spread|1 vanilla bean",,377,lunch|main course|main dish|dinner,gluten free|lacto ovo vegetarian,4,4,https://spoonacular.com/recipeImages/716421-556x370.jpg
Ground Turkey Stuffed Peppers,French,45,"4 bell peppers (choose your favorite color!)|1 tsp black pepper|1 (8oz) can tomato sauce|1 (8oz) can diced tomatoes|2 tbsp dried parsley|2 eggs|1 tbsp minced garlic|1/2 lb ground beef|1/2 lb ground turkey|1 onion, diced|1/4 cup grated parmesan cheese|1/2 cup uncooked rice|1 heaping tbsp sugar|1 (8oz) can tomato soup|1 tbsp Worcestershire sauce",Cook rice then knead it together with remaining filling ingredients.|Cut tops off peppers and fill each one.|Place in your slow cooker or a large stove-top pot.|Mix together sauce ingredients. Top each stuffed pepper with sauce and pour remaining sauce all around the stuffed peppers. Cook on medium/low for about an hour. Top with grated parmesan cheese and a little parsley for looks and serve warm.,463,lunch|main course|main dish|dinner,gluten free,39,4,https://spoonacular.com/recipeImages/645978-556x370.jpg
Guinness Braised Corned Beef and Cabbage,British,45,"2 pounds corned beef brisket|1 pound carrots, roughly chopped|1 pound parsnips, roughly chopped|3 large potatoes, peeled and quartered|2 cloves garlic, minced|2 cups Guinness|2 cups beef broth|2 tablespoons pickling spice|1 tablespoon brown sugar|1 bay leaf|3 spicy honey mustard","Season both sides of the corned beef liberally with pepper. The corning of the beef makes the beef salty enough, so no need to add more.|Heat 1 TBSP oil in a large, shallow oven-safe pot over medium-high heat.|Add beef and sear each side for about 3 minutes, just to develop a nice brown crust. This will seal in the beefs juices.|Remove beef to a plate.|Pour guinness into the pot to deglaze. Scrape up any browned bits.|Add beef broth, pickling spice, brown sugar, bay leaf, and minced garlic. Bring mixture up to a simmer.|Return the beef to the pot with any additional juices that have accumulated on the plate.|Cover the pot and place on the bottom rack in your oven.|Bake for 2 1/2 - 3 hours, or until a fork can easily be inserted into the meat.|Baste the meat with the surrounding juices every 30 minutes or so.|After 2 hours, add carrots, parsnips, and potatoes to the pot. They will only take about 25-30 minutes of simmering to cook.|Remove pot from the oven.|Place beef on a cutting board and let it rest for 15 minutes before carving into thin slices (cut against the grain of the meat).|Remove vegetables and arrange them on a serving platter. Cover with foil.|Place the pot on the burner and bring sauce to a boil.|Add cabbage and cook for about 7 minutes, until it has softened.|Place the cabbage on the serving platter with the other vegetables.|Strain the sauce in the pot and stir in 2 or 3 TBSP of spicy honey mustard until dissolved.|Place in a small dish or gravy boat with a ladle and serve alongside the beef.|After slicing the beef and arranging it on the serving platter, ladle the guinness mustard sauce over the top to rehydrate and glaze the beef and vegetables.",585,lunch|main course|main dish|dinner,dairy free,59,6,https://spoonacular.com/recipeImages/646034-556x370.jpg
Halloween Mocha Cupcakes,American,45,"1/2 teaspoon baking powder|1/2 teaspoon baking soda|1/2 cup bittersweet chocolate chips, melted|3/4 cup bittersweet chocolate chips|1/2 cup buttermilk|1 cup Cake Flour (100g)|Dark Chocolate Cocoa Powder, to dust|1/2 cup natural unsweetened cocoa powder (60g)|4 teaspoons Coffee Extract|1 egg|Halloween Sprinkles|1/2 cup heavy cream|1 8oz container mascarpone cheese|1/2 cup oil|1/4 teaspoon salt|2/3 cup sugar (add another 1/3 cup if you like it sweet)|1 teaspoon vanilla extract","Prepare the frosting by melting the chocolate in a double broiler. When the chocolate has melted, add heavy cream and coffee extract.|Pour the batter into a ziploc or piping bag and pipe into the cupcake pan.|Let the cupcakes cool in the pan for about 5 to 10 minutes and then transfer them to a rack to cool completely.Step 7: While cupcakes are cooling, make the chocolate decorations. Melt the chocolate and use a ziploc or piping bag to pipe out your design onto some parchment paper.|Sprinkle the halloween sprinkles before the chocolate hardens. Chill in freezer until needed.Step 8: Finish the frosting. Using an electric mixer, beat the mascarpone cheese until light and fluffy.|Add the cooled chocolate cream mixture from earlier and beat until combined.Step 9: Roughly spread the frosting on the cooled cupcakes. Dust with cocoa powder and decorate with sprinkles and chocolate.",382,dessert,,1,12,https://spoonacular.com/recipeImages/646138-556x370.jpg
Herbed Goat Cheese Yogurt Dip w. Caramelized Onions,Mediterranean,45,1 cup chopped caramelized onions|2 T dried dill|1 T dried parsley|1/4 cup chopped fresh chives|4 ounce goat cheese|1 cup Greek yogurt|steak seasoning,,545,side dish,gluten free|lacto ovo vegetarian|primal,32,1,https://spoonacular.com/recipeImages/716435-556x370.jpg
Holiday Egg Nog,American,45,1/4 teaspoon of Allspice|1/2 teaspoon of Cinnamon|4 Egg Yolks|1 cup of Heavy Cream|2 cups of Milk|1/2 teaspoon of Nutmeg|1/2 cup of Sugar,"Add the egg yolks and sugar to your mixer. Whip it up good until the mixture turns a light yellow color.Now, grab your small saucepan and add to it the milk, heavy cream, allspice, nutmeg, and cinnamon.|Heat it up to just boiling and remove it from the heat. Grab about a half a cup of the hot milk and add it into the egg mixture, whisking constantly. Now add the tempered egg mixture back into the rest of your milk mixture, continuing to whisk constantly.|Put the mixture back on medium low heat and cook it until just boiling and thickened.Pop it into a container and set it in the fridge to cool completely.",432,beverage|drink,gluten free|lacto ovo vegetarian,3,4,https://spoonacular.com/recipeImages/646833-556x370.jpg
Honey Dijon Roasted Brussels Sprout,French,45,2 cups brussels sprouts|1 Tbsp. dijon mustard|2 tablespoons Honey|2 Tbsp. olive oil|salt and pepper to tatse,"Preheat oven to 400whisk together olive oil, mustard and honey until well combined.In a large bowl, toss brussels sprouts in honey mustard mixture.|Spread brussels sprouts evenly on a cast iron skillet or roasting pan. Salt and pepper to taste.|Bake on top rack for 20 minutes.|Remove from oven and toss so the brussels sprouts cook evenly.|Place back in the oven and roast for an additional 10 minutes.The outside leaves should be slightly charred and the inside should be tender.",115,side dish,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal,14,4,https://spoonacular.com/recipeImages/647210-556x370.jpg
Hot Cross Buns,Mediterranean,45,1 teaspoon baking powder|1/2 teaspoon baking soda|1/2 teaspoon cinnamon|2 tablespoons flour|1/4 teaspoon nutmeg|1/2 cup raisins|1 teaspoon salt|4 tablespoons shortening|3/4 cup sour milk|1/4 cup sugar,"Sift flour once, measure, add baking soda, baking powder, salt, sugar and spices, and sift again.|Cut in shortening.|Add raisins.|Add enough sour milk to make a stiff dough.  Turn onto floured board. Knead slightly.|Roll 1/2 inch thick.|Cut with 2 inch cutter.|Place close together in shallow pan.With sharp knife, cut a cross in each roll.|Brush with a solution of milk and sugar.|Bake in hot 475 degrees for 20 minutes.|Brush again with sugar and milk solution. Fill cross with plain frosting.|Serve hot. Makes 12 buns.",86,morning meal|brunch|breakfast,,0,12,https://spoonacular.com/recipeImages/647442-556x370.jpg
Instant Pot Chicken Taco Soup,Mexican,25,½ pound boneless/skinless chicken breasts|1 10 oz can of black beans|1 10 oz can of corn|1 4oz can chopped green chilis|1 28oz can diced tomatoes|2 tsp chili powder|¼ cup dried cilantro|1 medium green bell pepper finely chopped|¼ cup chopped green onion|1 tbsp olive oil|1 onion finely chopped|1 cup water,"Press the|Saute button on the Instant Pot and heat oil.|Add onion and bell pepper and saute until translucent.|Add tomatoes including juice and add water. Make sure to scrape all of the bits from the sides and bottom of the Instant Pot as you are stirring.|Add chicken, chili powder, corn, black beans, green onions, green chilis, and  cup of cilantro. Lock lid. Press the manual or pressure cook button and set time for 15 minutes. When time is up, do a quick release until the valve drops and then unlock the lid. Shred the chicken using two forks and then let the soup simmer for 5 minutes.|Serve the soup into bowls and then top with your favorite toppings such as sour cream, cheese, avocado, etc.",346,lunch|soup|main course|main dish|dinner,gluten free|dairy free,83,4,https://spoonacular.com/recipeImages/975070-556x370.jpg
Italian Meatloaf with Hard Boiled Eggs,Italian,45,"6 slices bacon, chopped|Freshly ground black pepper|1/4 cup Butter or margarine|2 carrots, finely chopped|2 stalks celery, finely sliced|1 sprig fresh rosemary|10 fresh sage leaves|3 cloves garlic, crushed|1 1/2 pounds ground beef|1 pound ground pork|1 pound ground veal|2 tablespoons olive oil|2½ teaspoons sea salt|200 g (7 oz) white bread, crusts removed, soaked in a bit of milk|1 large white onion, finely chopped|6 hard boiled eggs, peeled and left whole|7 ounces vin santo or Marsala","Preheat the oven to 425F.|Heat butter and olive oil in a saucepan and saute the onion, garlic, celery, carrots and herbs until lightly golden.|Add the vin santo or Marsala and bring to a boil. Boil for about 2 minutes, then remove from heat.|Place the meats, salt and pepper in a large bowl and mix together, then add the vegetables. Squeeze the bread of excess milk and break it into the mixture.|Add the 2 raw eggs. Using your hands, combine mixture well.Line a large rectangular terrine, casserole, or loaf pan (about 14 inches long) with foil and brush with oil.|Place half of the meat mixture in the pan and press down evenly. Arrange the hard boiled eggs in a line down the center, then cover with the remaining meat mixture. Press the mixture down well.|Bake the loaf on the bottom shelf of the oven for about 50 minutes; it should be lightly browned on top. Turn onto a serving dish. It is delicious served hot or cold.",780,lunch|main course|main dish|dinner,dairy free,19,8,https://spoonacular.com/recipeImages/648176-556x370.jpg
Jalapeno Cheese Quick Bread,French,45,"3/4 cup unbleached all purpose flour|3/4 cup whole-wheat flour|1 tbsp baking powder|1/2 tsp. salt|1 tbsp light olive oil|1 egg, lightly beaten|3/4 cup non-fat milk|1 cup light cheddar cheese (I used a light Mexican blend)|1/4 cups pickled jalapenos, drained, diced","Heat oven to 350|Lightly grease loaf pan, 9x5x3 or two mini muffin pans with cooking spray.|Stir together flour, cheese, baking powder, and salt in medium bowl.|Add olive oil, egg and milk, stir till combined. Fold in jalapenos.|Pour into pan|Bake 30 to 45 minutes or until golden brown and toothpick inserted in center comes out clean. Cool 5 minutes; run knife around edges of pan to loosen.|Remove from pan to wire rack. Cool 30 minutes before slicing, if you can wait that long, I didnt.",114,morning meal|brunch|breakfast,lacto ovo vegetarian,4,12,https://spoonacular.com/recipeImages/648339-556x370.jpg
Korean Extra Crispy Fried Chicken w Sweet Spicy Glaze,American,45,"24 chicken wings, cut into 3 pieces and tips discarded|canola oil, for frying (peanut oil if available)|2 cloves garlic (or garlic powder)|1 cup soy sauce|3, 4 Thai chili peppers, deseeded and finely minced|2 tbsp ketchup|1, 2 tbsp rice vinegar (or cider vinegar)|3 tbsp brown sugar|1 tsp sesame oil|1 tbsp honey|2 cups cornstarch (1 cup coating, 1 cup for batter)|1 cup water|1/2 tsp salt and pepper|sesame seeds (garnish)","Cut and discard the end tip of each chicken wing. cut remaining pieces in half at the joint to create 2 pieces. Rinse pieces under cold water and set to dry for at least 10 minutes. In a heavy pot such as a dutch oven, pour in canola or peanut oil to a depth of 3 inches.|Heat over medium-high for about 15 minutes or until ready for frying.|In the meantime, combine sauce ingredients of soy, vinegar, sugar, honey, ketchup, sesame oil, Thai chili peppers, and the seasoning in a small sauce pan. Boil until sauce slightly thickens and then set at low heat. Adjust the spiciness/sweetness of the sauce by adding more minced red peppers and/or sugar, continuously tasting for desired result.|In a large mixing bowl, mix 1 cup cornstarch and salt and pepper. Individually coat each chicken wing pieces with the cornstarch and set aside.|In another bowl, whisk the remaining cornstarch and water together to make a runny, liquidy batter.|Add each chicken wing one at a time and coat well. Shake off excess batter and fry the chicken in batches for about 10~13 minutes, or until golden brown, then drain on paper towels. Do not overcrowd the pan when frying each batch.|Flavor the wings with a brush or by tossing them all together in a mixing bowl.|Transfer to a serving plate and garnish with sesame seeds. Enjoy and eat while hot!",732,lunch|main course|main dish|dinner,gluten free|dairy free,9,6,https://spoonacular.com/recipeImages/649049-556x370.jpg
Layered Poppy Seed Pastries,Italian,45,1 teaspoon baking powder|1 cup softened butter cut into cubes|1 whl egg plus|1 egg yolk|1 egg yolk mixed with|4 cups flour plus more|Grated zest of 1 lemon|1/2 cup warm milk|2 ounces can poppy seed filling - (12 ½ ea)|1/4 teaspoon salt|1 dsh sugar|1 cup sugar|1 teaspoon vanilla extract|1/2 pound ground walnuts|1/2 cup cold water|1 pkt dry yeast - (1/4 oz),"Mix warm milk, sugar and yeast in small bowl until yeast dissolves. Set aside.Blend flour, baking powder, salt and lemon zest in large bowl of electric mixer.|Add butter and blend until mixture is crumbly. Beat egg, egg yolk and vanilla in small bowl.|Add to flour mixture alternately with milk mixture and blend until dough comes together.|Transfer dough to floured board; divide dough into 4 parts. Knead each part into flat disc, then wrap in plastic wrap and refrigerate 1 hour.Spoon poppy seed filling into pastry bag. Blend sugar and nuts in small bowl. Set aside.|Roll each disc of dough into thin sheet large enough to fit into a 13- by 9-inch baking dish. Trim each sheet dough to fit dish. (Reserve trimmings for Poppy Seed Strudel, if desired.) Arrange 1 sheet dough in bottom of baking dish.Pipe half filling onto pastry (or can be spread using spoon).|Spread poppy seed filling evenly over sheet of dough. Cover with second sheet of dough, and sprinkle with 1 cup walnut filling. Arrange sheet of dough on top and repeat with layer of poppy seed filling. Top with remaining sheet of dough. Cover with kitchen towel and let stand 30 minutes.|Brush top with egg yolk mixture.|Bake at 350 degrees until golden brown, about 45 minutes. While hot, cut into 24 squares. Cool in pan. (To freeze, wrap each pastry in plastic wrap then foil. Store in resealable plastic bags in freezer.)This recipe yields 24 pastries.Comments: Make the Poppy Seed Pastries in advance and store them in the freezer. At serving time, just defrost them; they will stay crisp and everyone will think they were freshly baked. Make extra pastries to follow the Purim tradition of sharing (shalach manos) and give a basket of these delicious confections as gifts to family and friends.",262,antipasti|starter|snack|appetizer|antipasto|hor doeuvre,lacto ovo vegetarian,2,24,https://spoonacular.com/recipeImages/649361-556x370.jpg
Lemon and Honey Chicken,Mediterranean,45,"1 large chicken jointed into 8-10 pieces or chicken thighs|Sea salt and black pepper|4 tablespoons olive oil|2 cloves of garlic, halved horizontally|Few thyme sprigs|Splash of red wine vinegar|2 tablespoons dark soy sauce|3 tablespoons honey|1 lemon, finely sliced|Bunch of flat leaf parsley, chopped","Season the chicken with salt and pepper and heat the olive oil in a large saut pan. Brown the chicken pieces (in batches if necessary) over a high heat with the garlic and thyme for 23 minutes on each side until golden brown. Return all the chicken to the pan, add the vinegar and bubble until reduced by half.|Drizzle over the soy sauce and honey and shake the pan to mix.|Pour in a 1/2 cup of hot water and add the lemon slices.|Let the liquid bubble and reduce down until syrupy, which will take about 10 minutes or so. By now the chicken should be cooked through.|Transfer the chicken to a platter and sprinkle over the chopped parsley.|Serve with mashed potato (boil potatoes, add milk and butter and mash together, add cooked peas and carrots and some thyme).",172,side dish,gluten free|dairy free,4,6,https://spoonacular.com/recipeImages/649503-556x370.jpg
Lemon and pepper veal cutlets,British,45,"¼ tsp black pepper|125g Butter, softened|2 Tbs corn flour|½ cup cream|2 tsp fresh rosemary, chopped|½ cup lemon juice|1 tsp grated lemon rind|1 cup Olive oil|1 tsp cracked black pepper|½ tsp salt|½ cup sour cream|4 veal cutlets","Slightly flatten the cutlets with a meat mallet.|Combine corn flour, salt and pepper, dredge the cutlets through the mixture.Cook veal in butter and olive oil in a large pan for 3 minutes on each side or until browned and cooked as desired.|Remove veal from the pan and set aside. Cover to keep warm.|Mix and combine cream, sour cream, lemon rind, lemon juice, rosemary, pepper and salt.|Add the mix to the same pan, bring to the boil. Reduce flame and simmer, uncovered, for 5 minutes until sauce thickens slightly.Return the chops to the pan, coat with sauce.|Serve with pilaf and green salad.",698,lunch|main course|main dish|dinner,gluten free|ketogenic,12,4,https://spoonacular.com/recipeImages/649502-556x370.jpg
Lemon and Strawberry Loaf,British,45,"125g Butter, softened|220g (1 cup) Sugar|2 Large eggs|160g (1 1/4cup) Self raising flour|30g (1/4 cup) Dessicated coconut|100ml (1/2 cup) Natural yoghurt|finely grated rind and juice of 1 lemon (35-38g lemon juice)|150g Fresh strawberries, cut into quarters","Preheat the oven to 180C. Line a 23cm x 12cm loaf tin with baking paper.|Beat butter and sugar until pale and creamy.|Add eggs, one at a time beating well after each addition. Then add lemon rind and juice.|Stir in flour, dessicated coconut, yoghurt and strawberries with a rubber spatula.|Pour mixture into loaf tin and smooth the top.|Bake for 50-60 minutes or until a skewer inserted in the centre comes out clean.|Cool in the tin for 10 minutes, then turn out onto a wire rack to cool completely.",566,side dish,lacto ovo vegetarian,0,8,https://spoonacular.com/recipeImages/649504-556x370.jpg
Light Greek Lemon Chicken Orzo Soup,Mediterranean,30,"3 cooked chicken breasts|2 32 oz. boxes of chicken broth|3 carrots, peeled and diced|3 celery stalks, diced|3-4 sprigs fresh thyme|1 teaspoon extra virgin olive oil|2 cups orzo pasta|1 Tbs ground thyme|1 Tbs salt|1 Tbs pepper|1 large lemon","In a large soup pot, heat olive oil on medium high.|Add carrots and celery and cook for 5 minutes on medium.|Add chicken broth.|Add ground thyme, salt and pepper.|Add cooked, diced chicken breasts and fresh thyme.Bring to boil.|Add orzo and cook for 7-10 minutes until pasta is cooked.|Add the lemon zest and juice from 1 large lemon.|Serve with a slice of lemon.",139,lunch|soup|main course|main dish|dinner,dairy free,23,8,https://spoonacular.com/recipeImages/1098350-556x370.jpg
"Linguine with Prawns, Fresh Tomatoes and Spinach",Italian,45,"1/2 package fresh baby spinach stems removed and cleaned|1 pound of Fettuccine Barilla|1 garlic clove|1/4 cup Olive oil|1 tablespoon freshly chopped parsley|1 pound of fresh prawns, shell and tail removes and deveined|Salt and Pepper to taste|4 fresh tomatoes, seed removed and chopped|2 teaspoons unsalted butter|1/2 cup White wine","Cook the Linguine according to package direction.In a large skillet under medium heat melt the butter with the olive oil.|Add the chopped tomatoes, chopped parsley, chopped garlic and saute until slightly tender.|Add the spinach, the wine and the prawns.|Saute until the prawns are pink and the spinach wilted.|Drain the pasta, add it to the skillet and mix well.|Serve hot.",725,side dish|lunch|main course|main dish|dinner,pescatarian,34,4,https://spoonacular.com/recipeImages/650139-556x370.jpg
Loaded Veggie Omelet,Mediterranean,45,1 small shallot chopped|1 teaspoon chopped garlic|4 mushrooms sliced|8 cherry tomatoes sliced|1 tablespoon fresh chopped basil|1/2 cup fresh spinach chopped|4 eggs whisked|1/2 cup white cheese|Drizzle of olive oil,"Preheat the oven to warm or 170 degrees. Bring a small saute pan or small omelet pan to a warm.|Saute the veggies using the olive oil starting with the shallot and garlic, adding the mushrooms until they are tender. Toss in the tomatoes and spinach and remove the pan from the heat.|Pour a layer of the egg into a small omelet pan or small saute pan. As the egg starts to cook run a spatula around the edge to loosen the egg. Once the egg is almost cooked (slightly runny on the top) sprinkle half the basil, cheese, and sauteed veggies on to one side of the egg. Gently fold the egg over the filling.|Slide the omelet onto a small oven safe plate and put it in the oven.|Repeat for the second omelet!",399,lunch|main course|morning meal|brunch|main dish|breakfast|dinner,gluten free|primal|ketogenic,12,2,https://spoonacular.com/recipeImages/650239-556x370.jpg
Mango Avocado Ice Cream,Italian,45,flesh of 2 ripe avocados|3 tablespoons honey|juice of 1 lime|flesh of 1 Ataulfo mango|1 cup to 1 ½ cup of whole milk,Blend everything together in a blender until smooth.Refrigerate over night.Churn in your ice cream maker as according to the manufacturers instruction.,585,dessert,gluten free|lacto ovo vegetarian|primal,10,8,https://spoonacular.com/recipeImages/650751-556x370.jpg
Mascarpone & Ricotta Cheese Cake,Italian,45,"1/4 cup almonds, ground|1 tablespoon butter, melted|16oz whipped cream cheese, room temperature|• 4 large eggs, room temperature|2 tbsp flour|1 1/2 cups graham crackers|• 1 tbsp lemon juice|• 8oz mascarpone cheese, room temperature|• 8oz ricotta cheese|1/2 tsp salt|• 1 1/4 cups sugar|2 tbsp sugar|• 1 tsp vanilla extract","Preheat oven to 325.Crust:Grind graham crackers and almonds using food processor or a mortar and pestle.|Add melted butter and salt and press into bottom of greased springform pan or deep dish pie pan.|Bake for 10 minutes.|Let cool.|Mix sugar and flour together and sprinkle over top of crust. (This prevents crust from getting soggy)Filling:Beat cream cheese, mascarpone cheese, ricotta cheese and sugar in a large bowl until smooth. Beat in lemon juice and vanilla.|Add in eggs one at a time.|Pour cheese mixture over crust in pan.|Bake until the center of the cheesecake is wobbly when shaken, about 1hr and 5 mins.|Let cool then refrigerate, preferably overnight.",487,dessert,,1,10,https://spoonacular.com/recipeImages/651189-556x370.jpg
Meat rolls with prosciutto and sage,British,45,"4 veal or beef flank steaks (600 g)|2 tsp Vegeta Natur or similar seasoning|100 g prosciutto, cut into thin slices|4 sage leaves|1 tsp corn starch|200 ml white wine|2 Tbs olive oil|2 Tbs butter|Black pepper","Wash, dry and flatten the steaks.|Rub one side of each steak with Vegeta Natur.|Cover the other side of the steak with a slice of prosciutto and a sage leaf.|Roll the steak and secure the roll with wooden or metal toothpicks.|Whisk corn starch into the wine.|Saut the rolls on all sides in the hot mixture of oil and butter until golden, then stir in wine and season with pepper.|Cover and simmer the rolls over low heat for 20 minutes or until very tender.|Remove the toothpicks before serving.",473,,gluten free|ketogenic,13,4,https://spoonacular.com/recipeImages/651326-556x370.jpg
Mediterranean Herb Dip,Mexican,45,"black pepper|1 8oz bar of cream cheese softened|1 4oz container feta cheese|1/2 cup fresh, basil|1/2 cup fresh, flat leaf parsley|8 garlic cloves minced (hence the dental floss)|1 Dash of Tabasco hot sauce|1 10 oz jar roasted red peppers, drained|Salt|1 8 oz jar sun dried tomatoes, drained|1/4 t. Worcestershire sauce","Put the sun dried tomatoes, roasted red peppers and garlic in a food processor. Pulse until finely chopped.|Add the feta cheese, cream cheese, Worcestershire sauce and Tabasco. Pulse until combined.|Add parsley and basil. Pulse again until combined.**Keep refrigerated.",445,antipasti|condiment|starter|snack|appetizer|dip|antipasto|hor doeuvre|spread,gluten free,36,4,https://spoonacular.com/recipeImages/651409-556x370.png
Milky Watermelon Drink,French,45,2 pieces of dates (remove the seeds)|7 tablespoons of evaporated milk|1/4 teaspoon of grated ginger|1/4 cup of crushed ice.|1 cup of blended watermelon,"Blend all ingredients together till smooth and serve chilled.P:S – If you are wondering where to buy dates, check out supermarkets or the hausa traders at a market. They are more likely to have dates. Does anyone know what dates are called in Hausa? Please leave a comment and help others",193,beverage|drink,gluten free|lacto ovo vegetarian,7,1,https://spoonacular.com/recipeImages/716252-556x370.jpg
